46.7604	90.75	2368
46.8904	90.765	2368.5
47.0204	90.75	2367
47.1504	90.685	2367
47.2804	90.685	2368
47.4104	90.55	2368
47.5404	90.49	2367.5
47.6704	90.58	2366.5
47.8004	90.505	2366.5
47.9304	90.49	2367
48.0604	90.395	2367
48.1904	90.35	2366.5
48.3204	90.21	2367
48.4504	90.29	2365.5
48.5804	90.21	2364.5
48.7104	90.225	2365.5
48.8404	90.105	2363.5
48.9704	90.075	2364.5
49.1004	89.875	2364
49.2304	89.875	2363
49.3604	89.785	2362.5
49.4904	89.69	2363
49.6204	89.63	2361
49.7504	89.555	2361.5
49.8804	89.43	2360.5
50.0104	89.325	2360.5
50.1404	89.26	2359
50.2704	89.185	2358.5
50.4004	89.095	2359.5
50.5304	89	2358.5
50.6604	88.865	2358.5
50.7904	88.71	2357.5
50.9204	88.605	2357.5
51.0504	88.495	2357
51.1804	88.42	2355.5
51.3104	88.265	2356
51.4404	88.145	2354.5
51.5704	87.915	2355
51.7004	87.76	2353.5
51.8304	87.7	2353.5
51.9604	87.575	2353.5
52.0904	87.455	2353
52.2204	87.285	2352
52.3504	87.16	2350.5
52.4804	86.915	2350.5
52.6104	86.87	2349
52.7404	86.75	2348.5
52.8704	86.595	2348
53.0004	86.44	2347.5
53.1304	86.275	2347
53.2604	86.045	2346.5
53.3904	85.875	2346
53.5204	85.785	2345.5
53.6504	85.555	2345
53.7804	85.415	2343.5
53.9104	85.26	2342
54.0404	85.03	2341.5
54.1704	84.77	2342
54.3004	84.62	2341
54.4304	84.48	2339.5
54.5604	84.265	2340
54.6904	84.08	2338
54.8204	83.88	2338
54.9504	83.65	2336.5
55.0804	83.44	2335
55.2104	83.3	2335
55.3404	83.13	2334.5
55.4704	82.915	2332.5
55.6004	82.735	2331.5
55.7304	82.425	2332
55.8604	82.21	2330.5
55.9904	81.995	2330.5
56.1204	81.8	2329.5
56.2504	81.615	2327.5
56.3804	81.37	2327.5
56.5104	81.095	2326
56.6404	80.865	2325
56.7704	80.585	2324
56.9004	80.42	2323
57.0304	80.145	2322.5
57.1604	79.93	2321.5
57.2904	79.65	2320
57.4204	79.44	2319
57.5504	79.1	2317.5
57.6804	78.96	2316.5
57.8104	78.655	2315
57.9404	78.47	2314
58.0704	78.165	2312.5
58.2004	77.905	2312
58.3304	77.645	2311
58.4604	77.385	2310
58.5904	77.14	2308.5
58.7204	76.895	2308
58.8504	76.62	2306
58.9804	76.325	2305
59.1104	76.065	2304
59.2404	75.775	2302.5
59.3704	75.53	2301
59.5004	75.255	2300
59.6304	74.945	2298.5
59.7604	74.685	2299
59.8904	74.395	2296.5
60.0204	74.045	2295.5
60.1504	73.795	2294
60.2804	73.535	2292
60.4104	73.245	2291.5
60.5404	72.925	2290
60.6704	72.65	2288
60.8004	72.31	2287.5
60.9304	71.945	2286.5
61.0604	71.775	2283.5
61.1904	71.42	2284.5
61.3204	71.13	2282
61.4504	70.81	2281.5
61.5804	70.52	2280
61.7104	70.135	2279
61.8404	69.875	2277
61.9704	69.535	2277
62.1004	69.275	2276
62.2304	68.94	2274
62.3604	68.65	2273
62.4904	68.28	2271.5
62.6204	67.945	2271
62.7504	67.665	2269.5
62.8804	67.345	2269
63.0104	66.995	2267.5
63.1404	66.67	2266
63.2704	66.32	2265
63.4004	65.905	2263.5
63.5304	65.645	2263
63.6604	65.32	2261.5
63.7904	65	2259.5
63.9204	64.665	2258.5
64.0504	64.325	2256.5
64.1804	63.895	2255.5
64.3104	63.605	2254
64.4404	63.27	2252
64.5704	63.01	2250
64.7004	62.61	2248.5
64.8304	62.27	2247.5
64.9604	61.89	2246
65.0904	61.535	2245
65.2204	61.245	2242
65.3504	60.925	2241.5
65.4804	60.54	2240
65.6104	60.22	2238.5
65.7404	59.82	2237.5
65.8704	59.465	2236.5
66.0004	59.085	2234.5
66.1304	58.825	2232.5
66.2604	58.44	2231
66.3904	58.09	2229.5
66.5204	57.735	2226.5
66.6504	57.385	2225
66.7804	56.94	2223.5
66.9104	56.665	2222
67.0404	56.28	2220.5
